hayh,IMPMC,155500,
casula,IMPMC,93098,
dupuy,IMPMC,88434,
bianco,IMPMC,73467,
laportes,IMPMC,71295,
calandra,IMPMC,68010,
ducher,IMPMC,63399,
mas,IMPMC,45570,
syloslabini,LPNHE,39186,
pamuk,IMPMC,17785,
lizhu,Affectation Temporaire,17098,
suzuki,Usr 3579 Biodiversite Et Biotechnologies Microbiennes,12572,
zubizarreta,IMPMC,10376,
benhaiem,LPNHE,10232,
lavaux,IAP,9924,
hellgren,IMPMC,9776,
ribeiro,IMPMC,8053,
lagardere,Fed 3 Upmc Institut Du Calcul Et De La Simulation,6146,
torche,IMPMC,3652,
stratmann,IMPMC,2057,
haferssas,LJLL,1179,
joyce,LPNHE,768,
cain,Affectation Temporaire,564,
faugere,LIP6,282,
germainma,Not Found,253,
gerolymos,IJLRA,158,
rouxm,Not Found,79,
nardoni,LJLL,49,
gavazzi,IAP,33,
norgeot,Fed 3 Upmc Institut Du Calcul Et De La Simulation,32,
jusot,IMPMC,0,
vicedomini,Umr 7238 Biologie Computationnelle Et Quantitative,0,
petiti,LCMCP,0,
nemausat,Affectation Temporaire,0,
